variant,total,result_match_rate,delta_vs_full_agent_pp,sql_valid_rate,sql_execution_rate,latency_p50,latency_p95,contained_in_actual_count,contained_in_expected_count,error_category_counts
full_agent,1,1.0,0.0,1.0,1.0,8.764411583004403,8.764411583004403,0,0,{}
openai_raw_full_context,1,1.0,0.0,1.0,1.0,3.048222582998278,3.048222582998278,0,0,{}
