metric,value
total,100
answerable_rate,1.0
intent_accuracy,1.0
sql_generation_rate,0.92
sql_validation_rate,0.91
sql_valid_rate,0.91
sql_execution_rate,0.91
result_value_match_rate,0.989010989010989
result_match_rate,0.989010989010989
correction_success_rate,0.0
retrieval_miss_rate,0.0
candidate_selection_accuracy,
latency_p50,3.552926958000171
latency_p95,8.179801209000289
token_cost_estimate,"{""usd"": null, ""method"": ""provider_usage_not_tracked_yet""}"
alias_only_difference_count,1
type_only_difference_count,0
order_only_mismatch_count,0
shape_mismatch_count,1
value_mismatch_count,0
error_category_counts,"{""environment_error"": 8, ""shape_mismatch"": 1, ""schema_linking_error"": 1}"
failures_by_difficulty,"{""L1"": 1, ""L2"": 2, ""L3"": 3, ""L4"": 2, ""L5"": 2}"
