variant,total,result_match_rate,delta_vs_full_agent_pp,sql_valid_rate,sql_execution_rate,latency_p50,latency_p95,error_category_counts
no_catalog_tools,20,1.0,5.0,1.0,1.0,2.2276225829991745,5.705486291000852,{}
openai_raw_full_context,20,1.0,5.0,1.0,1.0,1.6224002499948256,2.554248667001957,{}
full_agent,20,0.95,0.0,1.0,1.0,3.5034749590049614,6.9886470420024125,"{""value_mismatch"": 1}"
no_self_correction,20,0.85,-10.0,1.0,1.0,3.3282899999976507,6.518993042001966,"{""value_mismatch"": 1, ""shape_mismatch"": 2}"
no_context_enrichment,20,0.65,-30.0,1.0,1.0,3.505788875001599,16.564235167003062,"{""value_mismatch"": 5, ""shape_mismatch"": 2}"
openai_raw_one_retry,20,0.65,-30.0,1.0,1.0,1.9472589169963612,6.46551958299824,"{""value_mismatch"": 6, ""shape_mismatch"": 1}"
openai_raw_retrieved_schema,20,0.6470588235294118,-30.2941,0.85,0.85,1.4761299590027193,2.778288250003243,"{""value_mismatch"": 4, ""retrieval_miss"": 2, ""shape_mismatch"": 2, ""invalid_sql"": 1}"
openai_raw_minimal_schema,20,0.6,-35.0,1.0,1.0,1.5450642920040991,4.378930332997697,"{""value_mismatch"": 5, ""shape_mismatch"": 3}"
