variant,total,result_match_rate,delta_vs_full_agent_pp,sql_valid_rate,sql_execution_rate,latency_p50,latency_p95,error_category_counts
openai_raw_full_context,40,0.9705882352941176,16.5033,0.85,0.85,3.0584650830060127,5.0484637080007815,"{""invalid_sql"": 6, ""shape_mismatch"": 1}"
full_agent,40,0.8055555555555556,0.0,0.9,0.9,5.716043000000354,14.156121874999371,"{""invalid_sql"": 3, ""shape_mismatch"": 5, ""value_mismatch"": 2, ""intent_not_answerable"": 1}"
